experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E1,XED,replicas_per_victim,1,100,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.5533,2.3521,0.461,1477.249,25.7111,5.0394,0.041,0.0007,0.0001,0.0,0.0,0.0,0.041,0.0007,0.0001
E1,SIG_RANGE,replicas_per_victim,1,100,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0036,0.0018,0.0004,0.9958,0.0018,0.0004,0.11,0.3129,0.0613,1247.6257,12.1936,2.39,3002.7728,53.6992,10.525,0.0834,0.0015,0.0003,0.0,0.0,0.0,0.0834,0.0015,0.0003
E1,NBHD_TRUST,replicas_per_victim,1,100,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0015,0.0031,0.0006,1.0,0.0005,0.0001,0.99,0.0995,0.0195,3418.5174,20.9685,4.1098,752.3743,13.0698,2.5617,0.0209,0.0004,0.0001,0.0008,0.0,0.0,0.0217,0.0004,0.0001
E1,PROPOSED,replicas_per_victim,1,100,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2287.5403,33.8998,6.6444,6018.7397,103.9613,20.3764,0.1671,0.0029,0.0006,0.0002,0.0,0.0,0.1673,0.0029,0.0006
E1,XED,replicas_per_victim,2,100,1.0,0.0,0.0,0.0,0.0,0.0,27.75,29.9694,5.874,1.0,132.64,35.5479,6.9674,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.3492,2.4468,0.4796,1468.3921,25.6878,5.0348,0.0408,0.0007,0.0001,0.0,0.0,0.0,0.0408,0.0007,0.0001
E1,SIG_RANGE,replicas_per_victim,2,100,1.0,0.0,0.0,0.0,0.0,0.0,398.15,297.1494,58.2413,0.97,1076.4639,352.7625,70.2025,0.0037,0.0019,0.0004,0.9959,0.0019,0.0004,0.06,0.2375,0.0465,1289.8756,15.0394,2.9477,2990.7932,51.025,10.0009,0.083,0.0014,0.0003,0.0,0.0,0.0,0.083,0.0014,0.0003
E1,NBHD_TRUST,replicas_per_victim,2,100,0.76,0.4271,0.0837,0.24,0.4271,0.0837,500.0263,251.4732,56.5381,0.0,,,,0.001,0.0019,0.0004,0.9997,0.0012,0.0002,0.94,0.2375,0.0465,3418.1593,21.3862,4.1917,755.1479,12.8701,2.5225,0.021,0.0004,0.0001,0.0008,0.0,0.0,0.0218,0.0004,0.0001
E1,PROPOSED,replicas_per_victim,2,100,0.87,0.3363,0.0659,0.13,0.3363,0.0659,514.2184,308.0861,64.7394,0.58,1436.7931,258.2547,66.4646,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2321.279,34.9378,6.8478,6010.1058,104.7539,20.5318,0.1669,0.0029,0.0006,0.0002,0.0,0.0,0.167,0.0029,0.0006
E1,XED,replicas_per_victim,3,100,1.0,0.0,0.0,0.0,0.0,0.0,7.5,14.6714,2.8756,1.0,116.11,36.5538,7.1645,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.0324,1.9504,0.3823,1460.359,22.1454,4.3405,0.0405,0.0006,0.0001,0.0,0.0,0.0,0.0405,0.0006,0.0001
E1,SIG_RANGE,replicas_per_victim,3,100,1.0,0.0,0.0,0.0,0.0,0.0,376.465,285.7138,55.9999,0.91,1160.967,364.4624,74.8838,0.004,0.0017,0.0003,0.9956,0.0017,0.0003,0.13,0.3363,0.0659,1330.8417,18.8093,3.6866,2983.7497,49.7166,9.7445,0.0828,0.0014,0.0003,0.0,0.0,0.0,0.0828,0.0014,0.0003
E1,NBHD_TRUST,replicas_per_victim,3,100,0.86,0.347,0.068,0.14,0.347,0.068,437.7907,263.1311,55.6133,0.0,,,,0.0017,0.0032,0.0006,0.9991,0.0019,0.0004,0.82,0.3842,0.0753,3417.1888,18.9163,3.7076,757.7958,11.8959,2.3316,0.021,0.0003,0.0001,0.0008,0.0,0.0,0.0219,0.0003,0.0001
E1,PROPOSED,replicas_per_victim,3,100,0.88,0.275,0.0539,0.12,0.275,0.0539,570.0745,276.1346,55.823,0.39,1543.9231,244.6539,76.7849,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2356.6646,37.5821,7.3661,6009.7865,93.4203,18.3104,0.1669,0.0026,0.0005,0.0002,0.0,0.0,0.167,0.0026,0.0005
E1,XED,replicas_per_victim,4,100,1.0,0.0,0.0,0.0,0.0,0.0,4.11,10.2595,2.0109,1.0,117.75,36.0977,7.0752,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2932,2.3976,0.4699,1452.9455,28.0126,5.4905,0.0403,0.0008,0.0002,0.0,0.0,0.0,0.0403,0.0008,0.0002
E1,SIG_RANGE,replicas_per_victim,4,100,1.0,0.0,0.0,0.0,0.0,0.0,391.245,274.4635,53.7948,0.92,1152.3043,365.3823,74.6637,0.004,0.0017,0.0003,0.9956,0.0017,0.0003,0.095,0.2519,0.0494,1361.0421,22.9749,4.5031,2993.1472,61.7996,12.1127,0.0831,0.0017,0.0003,0.0,0.0,0.0,0.0831,0.0017,0.0003
E1,NBHD_TRUST,replicas_per_victim,4,100,0.88,0.325,0.0637,0.12,0.325,0.0637,359.375,232.3096,48.538,0.0,,,,0.0018,0.0039,0.0008,0.999,0.002,0.0004,0.79,0.4073,0.0798,3417.7548,20.772,4.0713,760.8843,15.5178,3.0415,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0005,0.0001
E1,PROPOSED,replicas_per_victim,4,100,0.93,0.2002,0.0392,0.07,0.2002,0.0392,573.4541,282.756,55.9828,0.45,1567.2,228.4697,66.7542,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2375.014,40.9832,8.0327,6032.0088,119.2298,23.369,0.1675,0.0033,0.0006,0.0002,0.0,0.0,0.1677,0.0033,0.0006
E1,XED,replicas_per_victim,5,100,1.0,0.0,0.0,0.0,0.0,0.0,1.68,4.2187,0.8269,1.0,111.74,38.1845,7.4842,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2125,2.1441,0.4202,1443.665,23.8978,4.684,0.0401,0.0007,0.0001,0.0,0.0,0.0,0.0401,0.0007,0.0001
E1,SIG_RANGE,replicas_per_victim,5,100,1.0,0.0,0.0,0.0,0.0,0.0,374.705,259.3291,50.8285,0.95,1173.4316,388.8511,78.1948,0.0042,0.0014,0.0003,0.9953,0.0013,0.0003,0.0667,0.1764,0.0346,1394.6525,23.5943,4.6245,2996.6052,54.3485,10.6523,0.0832,0.0015,0.0003,0.0,0.0,0.0,0.0832,0.0015,0.0003
E1,NBHD_TRUST,replicas_per_victim,5,100,0.9,0.3,0.0588,0.1,0.3,0.0588,301.8111,217.8319,45.0045,0.0,,,,0.0015,0.0031,0.0006,0.9986,0.0022,0.0004,0.72,0.449,0.088,3423.6679,22.2315,4.3574,761.9287,13.2392,2.5949,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E1,PROPOSED,replicas_per_victim,5,100,0.875,0.2773,0.0543,0.125,0.2773,0.0543,600.6277,316.3548,63.9538,0.41,1573.878,248.3954,76.034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2398.1669,44.9638,8.8129,6047.5034,104.9058,20.5615,0.1679,0.0029,0.0006,0.0002,0.0,0.0,0.1681,0.0029,0.0006
E1,XED,replicas_per_victim,6,100,1.0,0.0,0.0,0.0,0.0,0.0,1.05,0.4975,0.0975,1.0,103.42,38.5435,7.5545,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1166.9122,2.3077,0.4523,1437.512,27.3284,5.3564,0.0399,0.0008,0.0001,0.0,0.0,0.0,0.0399,0.0008,0.0001
E1,SIG_RANGE,replicas_per_victim,6,100,1.0,0.0,0.0,0.0,0.0,0.0,361.9967,256.8905,50.3505,0.94,1221.9362,382.6825,77.3626,0.0039,0.0018,0.0003,0.9957,0.0018,0.0003,0.12,0.2286,0.0448,1427.1294,30.2135,5.9219,2997.1213,61.0906,11.9738,0.0832,0.0017,0.0003,0.0,0.0,0.0,0.0832,0.0017,0.0003
E1,NBHD_TRUST,replicas_per_victim,6,100,0.86,0.347,0.068,0.14,0.347,0.068,261.9186,244.9478,51.7703,0.0,,,,0.0016,0.0033,0.0006,0.9986,0.0022,0.0004,0.72,0.449,0.088,3423.4308,21.8902,4.2905,766.4954,15.366,3.0117,0.0213,0.0004,0.0001,0.0008,0.0,0.0,0.0221,0.0005,0.0001
E1,PROPOSED,replicas_per_victim,6,100,0.9,0.2236,0.0438,0.1,0.2236,0.0438,573.2862,220.0291,43.343,0.29,1647.8621,170.587,62.0873,0.0001,0.0004,0.0001,1.0,0.0005,0.0001,1.0,0.0,0.0,2437.3881,44.3349,8.6896,6050.828,115.5288,22.6437,0.168,0.0032,0.0006,0.0002,0.0,0.0,0.1682,0.0032,0.0006
