experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E2,XED,event_grow_time,1200,100,1.0,0.0,0.0,0.0,0.0,0.0,2.78,7.1883,1.4089,1.0,112.56,33.6634,6.598,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2084,2.3231,0.4553,1457.0984,27.9699,5.4821,0.0405,0.0008,0.0002,0.0,0.0,0.0,0.0405,0.0008,0.0002
E2,SIG_RANGE,event_grow_time,1200,100,0.995,0.0497,0.0098,0.005,0.0497,0.0098,448.955,395.7011,77.5574,0.82,1175.0976,378.3836,81.8995,0.0021,0.0019,0.0004,0.9969,0.0024,0.0005,0.37,0.4039,0.0792,1328.8073,24.1356,4.7306,3032.3169,58.0123,11.3704,0.0842,0.0016,0.0003,0.0,0.0,0.0,0.0842,0.0016,0.0003
E2,NBHD_TRUST,event_grow_time,1200,100,0.85,0.3571,0.07,0.15,0.3571,0.07,307.5882,175.1335,37.232,0.0,,,,0.0009,0.0024,0.0005,0.9991,0.0019,0.0004,0.83,0.3756,0.0736,3419.0915,25.1642,4.9322,763.4299,14.1952,2.7822,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2,PROPOSED,event_grow_time,1200,100,0.93,0.2124,0.0416,0.07,0.2124,0.0416,530.9588,174.2066,34.6685,0.5,1600.88,213.1157,59.0727,0.0,0.0003,0.0001,1.0,0.0005,0.0001,1.0,0.0,0.0,2383.9548,45.7401,8.9651,6042.7869,111.7538,21.9037,0.1678,0.0031,0.0006,0.0002,0.0,0.0,0.168,0.0031,0.0006
E2,XED,event_grow_time,600,100,1.0,0.0,0.0,0.0,0.0,0.0,3.79,9.8654,1.9336,1.0,116.27,40.848,8.0062,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2929,2.1714,0.4256,1455.0359,25.311,4.961,0.0404,0.0007,0.0001,0.0,0.0,0.0,0.0404,0.0007,0.0001
E2,SIG_RANGE,event_grow_time,600,100,0.995,0.0497,0.0098,0.005,0.0497,0.0098,369.705,285.2154,55.9022,0.94,1185.6489,415.0583,83.9076,0.0033,0.0021,0.0004,0.9962,0.0022,0.0004,0.185,0.2971,0.0582,1349.9311,25.9726,5.0906,3008.2743,56.3454,11.0437,0.0835,0.0016,0.0003,0.0,0.0,0.0,0.0835,0.0016,0.0003
E2,NBHD_TRUST,event_grow_time,600,100,0.81,0.3923,0.0769,0.19,0.3923,0.0769,297.2963,155.409,33.8446,0.0,,,,0.0011,0.002,0.0004,0.9989,0.0021,0.0004,0.78,0.4142,0.0812,3419.8816,21.8727,4.287,761.7817,13.8747,2.7194,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2,PROPOSED,event_grow_time,600,100,0.92,0.2205,0.0432,0.08,0.2205,0.0432,548.4948,237.5539,47.2751,0.5,1544.68,233.3593,64.6839,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2380.6357,38.4477,7.5357,6034.5965,108.1365,21.1948,0.1675,0.003,0.0006,0.0002,0.0,0.0,0.1677,0.003,0.0006
E2,XED,event_grow_time,300,100,1.0,0.0,0.0,0.0,0.0,0.0,1.54,3.7267,0.7304,1.0,110.21,33.0382,6.4755,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.1579,2.2038,0.4319,1453.8776,24.248,4.7526,0.0404,0.0007,0.0001,0.0,0.0,0.0,0.0404,0.0007,0.0001
E2,SIG_RANGE,event_grow_time,300,100,1.0,0.0,0.0,0.0,0.0,0.0,380.02,257.3535,50.4413,0.93,1150.3441,376.056,76.4306,0.0037,0.0019,0.0004,0.9958,0.0018,0.0004,0.115,0.233,0.0457,1361.5132,25.8859,5.0736,2995.8499,54.8474,10.7501,0.0832,0.0015,0.0003,0.0,0.0,0.0,0.0832,0.0015,0.0003
