experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E2,NBHD_TRUST,event_grow_time,300,100,0.8,0.4,0.0784,0.2,0.4,0.0784,279.2125,122.3427,26.8095,0.0,,,,0.0017,0.0031,0.0006,0.9988,0.0021,0.0004,0.76,0.4271,0.0837,3419.6132,19.9851,3.9171,760.9015,13.0031,2.5486,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2,PROPOSED,event_grow_time,300,100,0.935,0.1824,0.0358,0.065,0.1824,0.0358,574.3182,276.0589,54.3801,0.37,1604.3514,234.3806,75.5226,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2375.7749,39.8118,7.8031,6034.9962,100.6475,19.7269,0.1676,0.0028,0.0005,0.0002,0.0,0.0,0.1677,0.0028,0.0005
E2,XED,event_grow_time,150,100,1.0,0.0,0.0,0.0,0.0,0.0,3.72,8.3739,1.6413,1.0,114.63,37.0226,7.2564,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2865,2.1726,0.4258,1457.8718,23.2599,4.5589,0.0405,0.0006,0.0001,0.0,0.0,0.0,0.0405,0.0006,0.0001
E2,SIG_RANGE,event_grow_time,150,100,1.0,0.0,0.0,0.0,0.0,0.0,344.12,217.5708,42.6439,1.0,1150.12,335.9466,65.8455,0.0041,0.0017,0.0003,0.9956,0.0017,0.0003,0.07,0.2002,0.0392,1367.1433,22.2407,4.3592,2995.9608,50.2243,9.844,0.0832,0.0014,0.0003,0.0,0.0,0.0,0.0832,0.0014,0.0003
E2,NBHD_TRUST,event_grow_time,150,100,0.85,0.3571,0.07,0.15,0.3571,0.07,350.6353,224.6751,47.7641,0.0,,,,0.0014,0.0028,0.0006,0.999,0.002,0.0004,0.79,0.4073,0.0798,3420.2919,22.7437,4.4578,763.1994,12.1924,2.3897,0.0212,0.0003,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2,PROPOSED,event_grow_time,150,100,0.93,0.2124,0.0416,0.07,0.2124,0.0416,547.3557,233.8844,46.5448,0.29,1616.1724,235.7092,85.7894,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2377.3777,40.5612,7.95,6051.6944,94.2493,18.4729,0.168,0.0026,0.0005,0.0002,0.0,0.0,0.1682,0.0026,0.0005
E2,XED,event_grow_time,75,100,1.0,0.0,0.0,0.0,0.0,0.0,4.02,10.3624,2.031,1.0,110.65,36.1462,7.0847,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.3031,2.0433,0.4005,1455.3741,23.4941,4.6048,0.0404,0.0007,0.0001,0.0,0.0,0.0,0.0404,0.0007,0.0001
E2,SIG_RANGE,event_grow_time,75,100,1.0,0.0,0.0,0.0,0.0,0.0,334.95,213.9777,41.9396,0.99,1134.7273,342.4518,67.4587,0.0043,0.0015,0.0003,0.9955,0.0014,0.0003,0.085,0.2007,0.0393,1365.4342,21.7156,4.2563,2989.0333,55.3225,10.8432,0.083,0.0015,0.0003,0.0,0.0,0.0,0.083,0.0015,0.0003
E2,NBHD_TRUST,event_grow_time,75,100,0.89,0.3129,0.0613,0.11,0.3129,0.0613,357.4944,228.2572,47.4226,0.0,,,,0.0018,0.0024,0.0005,0.9987,0.0022,0.0004,0.73,0.444,0.087,3421.4059,19.5843,3.8385,761.6718,12.6661,2.4826,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2,PROPOSED,event_grow_time,75,100,0.885,0.2725,0.0534,0.115,0.2725,0.0534,564.7872,238.7621,48.2678,0.39,1659.0256,210.6882,66.1247,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2379.6651,38.3182,7.5104,6040.7191,95.9122,18.7988,0.1677,0.0027,0.0005,0.0002,0.0,0.0,0.1679,0.0027,0.0005
