experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E1,XED,replicas_per_victim,1,8,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1031.5912,10.1272,7.0178,714.0025,16.7419,11.6016,0.0198,0.0005,0.0003,0.0,0.0,0.0,0.0198,0.0005,0.0003
E1,SIG_RANGE,replicas_per_victim,1,8,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0016,0.0016,0.0011,0.9969,0.0024,0.0017,0.625,0.4841,0.3355,1219.4088,8.7459,6.0606,1456.1051,34.0216,23.5758,0.0404,0.0009,0.0007,0.0,0.0,0.0,0.0404,0.0009,0.0007
E1,NBHD_TRUST,replicas_per_victim,1,8,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0002,0.0001,0.0001,1.0,0.0,0.0,1.0,0.0,0.0,3048.8562,31.128,21.5706,363.791,8.5499,5.9247,0.0101,0.0002,0.0002,0.0003,0.0,0.0,0.0104,0.0002,0.0002
E1,PROPOSED,replicas_per_victim,1,8,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2200.6344,27.4877,19.048,2907.9913,68.0861,47.1813,0.0807,0.0019,0.0013,0.0001,0.0,0.0,0.0808,0.0019,0.0013
E1,XED,replicas_per_victim,2,8,1.0,0.0,0.0,0.0,0.0,0.0,26.375,33.5557,23.2529,1.0,124.0,44.0738,30.5416,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1038.1163,9.0522,6.2729,731.3812,14.8117,10.264,0.0203,0.0004,0.0003,0.0,0.0,0.0,0.0203,0.0004,0.0003
E1,SIG_RANGE,replicas_per_victim,2,8,1.0,0.0,0.0,0.0,0.0,0.0,339.25,225.6068,156.3376,0.5,776.75,109.0788,106.8972,0.0019,0.0017,0.0012,0.9969,0.0024,0.0017,0.75,0.433,0.3001,1257.9675,15.1467,10.4961,1500.5662,31.0606,21.5239,0.0417,0.0009,0.0006,0.0,0.0,0.0,0.0417,0.0009,0.0006
E1,NBHD_TRUST,replicas_per_victim,2,8,0.875,0.3307,0.2292,0.125,0.3307,0.2292,373.4286,173.1843,128.2968,0.0,,,,0.0003,0.0002,0.0001,1.0,0.0,0.0,1.0,0.0,0.0,3076.1875,34.1367,23.6555,376.3057,7.9457,5.5061,0.0104,0.0002,0.0002,0.0003,0.0,0.0,0.0108,0.0002,0.0002
E1,PROPOSED,replicas_per_victim,2,8,0.875,0.3307,0.2292,0.125,0.3307,0.2292,597.1429,185.0216,137.0659,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2240.7087,34.6256,23.9944,3003.2283,62.3657,43.2172,0.0834,0.0017,0.0012,0.0001,0.0,0.0,0.0835,0.0017,0.0012
E1,XED,replicas_per_victim,3,8,1.0,0.0,0.0,0.0,0.0,0.0,14.125,16.1357,11.1814,1.0,130.125,40.0857,27.7779,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1033.3512,6.8062,4.7165,718.6232,10.3564,7.1766,0.02,0.0003,0.0002,0.0,0.0,0.0,0.02,0.0003,0.0002
E1,SIG_RANGE,replicas_per_victim,3,8,1.0,0.0,0.0,0.0,0.0,0.0,314.375,198.2558,137.3843,0.5,807.75,89.5974,87.8054,0.0013,0.0018,0.0013,0.9981,0.0024,0.0017,0.375,0.4841,0.3355,1297.245,17.1851,11.9087,1474.7475,16.8755,11.6941,0.0409,0.0005,0.0003,0.0,0.0,0.0,0.0409,0.0005,0.0003
E1,NBHD_TRUST,replicas_per_victim,3,8,0.875,0.3307,0.2292,0.125,0.3307,0.2292,398.0,267.9072,198.4685,0.0,,,,0.0006,0.0007,0.0005,0.9988,0.0022,0.0015,0.75,0.433,0.3001,3046.4388,24.8193,17.1989,372.3042,4.2732,2.9612,0.0103,0.0001,0.0001,0.0003,0.0,0.0,0.0107,0.0001,0.0001
E1,PROPOSED,replicas_per_victim,3,8,0.625,0.4146,0.2873,0.375,0.4146,0.2873,478.9167,172.3861,137.9376,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2229.6069,30.0505,20.8239,2966.79,35.5668,24.6466,0.0824,0.001,0.0007,0.0001,0.0,0.0,0.0825,0.001,0.0007
E1,XED,replicas_per_victim,4,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,115.25,29.9865,20.7796,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1025.8575,6.3332,4.3887,700.8627,10.7004,7.415,0.0195,0.0003,0.0002,0.0,0.0,0.0,0.0195,0.0003,0.0002
E1,SIG_RANGE,replicas_per_victim,4,8,1.0,0.0,0.0,0.0,0.0,0.0,251.0625,180.9937,125.4222,0.625,742.4,112.1617,98.314,0.0023,0.0017,0.0012,0.9963,0.0022,0.0015,0.5,0.433,0.3001,1314.2719,21.7131,15.0464,1454.5974,22.3821,15.51,0.0404,0.0006,0.0004,0.0,0.0,0.0,0.0404,0.0006,0.0004
E1,NBHD_TRUST,replicas_per_victim,4,8,1.0,0.0,0.0,0.0,0.0,0.0,346.5,249.7654,173.0786,0.0,,,,0.0007,0.0005,0.0003,0.9975,0.0025,0.0017,0.5,0.5,0.3465,3038.365,18.3699,12.7297,366.4007,5.6749,3.9325,0.0102,0.0002,0.0001,0.0003,0.0,0.0,0.0105,0.0002,0.0001
E1,PROPOSED,replicas_per_victim,4,8,0.875,0.2165,0.15,0.125,0.2165,0.15,471.1875,137.2017,95.0759,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2260.1231,33.3859,23.1352,2921.5012,47.0994,32.6382,0.0811,0.0013,0.0009,0.0001,0.0,0.0,0.0812,0.0013,0.0009
E1,XED,replicas_per_victim,5,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.25,22.1176,15.3267,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1021.7262,9.6409,6.6808,694.3512,11.6662,8.0842,0.0193,0.0003,0.0002,0.0,0.0,0.0,0.0193,0.0003,0.0002
