experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E9-kappa,PROPOSED,kappa,1.5,50,1.0,0.0,0.0,0.0,0.0,0.0,861.53,172.4979,47.814,0.02,1722.0,,,0.9134,0.1351,0.0374,0.0612,0.0105,0.0029,0.8705,0.0237,0.0066,0.92,0.1833,0.0508,3563.1946,102.1909,28.3259,5740.58,99.3338,27.5339,0.1594,0.0028,0.0008,0.0002,0.0,0.0,0.1596,0.0028,0.0008
E9-kappa,PROPOSED,kappa,2.0,50,1.0,0.0,0.0,0.0,0.0,0.0,1022.4,257.1247,71.2713,0.18,1809.0,186.6333,121.9338,0.9081,0.1762,0.0488,0.0008,0.0012,0.0003,0.9988,0.0024,0.0007,1.0,0.0,0.0,2491.1764,52.2747,14.4898,6042.8103,99.0112,27.4445,0.1678,0.0027,0.0008,0.0002,0.0,0.0,0.168,0.0028,0.0008
E9-kappa,PROPOSED,kappa,2.5,50,0.95,0.15,0.0416,0.05,0.15,0.0416,1068.39,255.6032,70.8496,0.2,1792.2,136.619,84.6774,0.8354,0.2421,0.0671,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2382.9443,43.8772,12.1621,6050.8752,119.4356,33.1059,0.168,0.0033,0.0009,0.0002,0.0,0.0,0.1682,0.0033,0.0009
E9-kappa,PROPOSED,kappa,3.0,50,0.85,0.2693,0.0746,0.15,0.2693,0.0746,1257.9062,281.3926,79.6064,0.02,1886.0,,,0.6045,0.3539,0.0981,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2363.0103,32.2852,8.949,6102.9226,121.3258,33.6298,0.1694,0.0034,0.0009,0.0002,0.0,0.0,0.1696,0.0034,0.0009
E9-kappa,PROPOSED,kappa,4.0,50,0.67,0.3407,0.0944,0.33,0.3407,0.0944,1393.1477,276.4583,81.6882,0.0,,,,0.3435,0.3017,0.0836,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2348.2101,27.4378,7.6054,6074.0595,113.1711,31.3694,0.1686,0.0031,0.0009,0.0002,0.0,0.0,0.1688,0.0031,0.0009
E9-alpha,PROPOSED,alpha,0.1,50,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2322.3953,31.8195,8.8199,6077.3739,114.5107,31.7407,0.1687,0.0032,0.0009,0.0002,0.0,0.0,0.1689,0.0032,0.0009
E9-alpha,PROPOSED,alpha,0.2,50,0.63,0.3437,0.0953,0.37,0.3437,0.0953,1569.7093,250.5871,74.8998,0.0,,,,0.2632,0.2727,0.0756,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2342.0496,33.3166,9.2349,6094.0315,114.2515,31.6689,0.1692,0.0032,0.0009,0.0002,0.0,0.0,0.1694,0.0032,0.0009
E9-alpha,PROPOSED,alpha,0.3,50,0.97,0.1187,0.0329,0.03,0.1187,0.0329,1161.89,263.0927,72.9256,0.04,1803.0,179.0,248.0813,0.8091,0.2425,0.0672,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2378.667,37.5651,10.4125,6080.2432,106.7297,29.5839,0.1688,0.003,0.0008,0.0002,0.0,0.0,0.169,0.003,0.0008
E9-alpha,PROPOSED,alpha,0.5,50,1.0,0.0,0.0,0.0,0.0,0.0,752.37,176.0383,48.7953,0.58,1645.069,163.5933,59.5419,0.9886,0.0312,0.0086,0.0196,0.0093,0.0026,0.9701,0.0136,0.0038,0.94,0.1625,0.045,2984.6068,83.8446,23.2405,5901.828,102.5922,28.4371,0.1639,0.0028,0.0008,0.0002,0.0,0.0,0.164,0.0029,0.0008
E9-alpha,PROPOSED,alpha,1.0,50,1.0,0.0,0.0,0.0,0.0,0.0,97.42,67.8135,18.7969,0.0,,,,0.7558,0.0978,0.0271,0.092,0.0031,0.0009,0.6112,0.0547,0.0152,0.65,0.35,0.097,6465.3206,48.709,13.5015,4694.5197,84.3669,23.3853,0.1303,0.0023,0.0006,0.0002,0.0,0.0,0.1305,0.0023,0.0007
