experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E1S,NBHD_TRUST,attack,sem_suppress,50,0.1,0.3,0.0832,0.9,0.3,0.0832,919.6,429.8789,376.8054,0.0,,,,0.0006,0.0019,0.0005,0.0001,0.0001,0.0,1.0,0.0,0.0,,,,3418.5682,20.7631,5.7552,754.0496,12.4623,3.4544,0.0209,0.0003,0.0001,0.0008,0.0,0.0,0.0218,0.0004,0.0001
E1S,PROPOSED,attack,sem_suppress,50,0.18,0.3842,0.1065,0.82,0.3842,0.1065,1135.3333,428.4989,279.9526,0.0,,,,0.0169,0.1125,0.0312,0.0,0.0,0.0,1.0,0.0,0.0,,,,2292.3741,35.8192,9.9286,6025.0693,99.8316,27.6719,0.1673,0.0028,0.0008,0.0002,0.0,0.0,0.1675,0.0028,0.0008
E1S,NBHD_TRUST,attack,sem_displace,50,0.76,0.4271,0.1184,0.24,0.4271,0.1184,623.5526,326.9056,103.941,0.0,,,,0.0202,0.0214,0.0059,0.0002,0.0002,0.0001,1.0,0.0,0.0,,,,3420.1814,21.6279,5.995,751.9694,12.2728,3.4018,0.0209,0.0003,0.0001,0.0008,0.0,0.0,0.0217,0.0004,0.0001
E1S,PROPOSED,attack,sem_displace,50,1.0,0.0,0.0,0.0,0.0,0.0,442.26,318.7804,88.3614,0.9,1316.1333,300.5128,87.8037,0.9754,0.1178,0.0327,0.0,0.0,0.0,1.0,0.0,0.0,,,,2321.5209,35.9754,9.9719,5978.1212,100.7128,27.9162,0.166,0.0028,0.0008,0.0002,0.0,0.0,0.1662,0.0028,0.0008
E1S,NBHD_TRUST,attack,mean_match,50,0.16,0.3666,0.1016,0.84,0.3666,0.1016,690.5,266.8619,184.9258,0.0,,,,0.0017,0.0047,0.0013,0.0001,0.0001,0.0,1.0,0.0,0.0,,,,3424.0994,22.5619,6.2538,756.7857,11.2495,3.1182,0.021,0.0003,0.0001,0.0008,0.0,0.0,0.0218,0.0003,0.0001
E1S,PROPOSED,attack,mean_match,50,0.12,0.325,0.0901,0.88,0.325,0.0901,1291.3333,274.8288,219.9089,0.0,,,,0.0006,0.0016,0.0005,0.0,0.0,0.0,1.0,0.0,0.0,,,,2296.7675,37.2925,10.337,6047.6534,89.5281,24.8159,0.1679,0.0025,0.0007,0.0002,0.0,0.0,0.1681,0.0025,0.0007
