experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E3S,NBHD_TRUST,replicas_per_victim,2,50,0.38,0.4854,0.1345,0.62,0.4854,0.1345,593.8947,345.9314,155.5497,0.0,,,,0.0066,0.0132,0.0037,0.0002,0.0003,0.0001,1.0,0.0,0.0,1.0,0.0,0.0,3418.335,25.818,7.1564,758.3731,14.7754,4.0955,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.0219,0.0004,0.0001
E3S,PROPOSED,replicas_per_victim,2,50,0.26,0.4386,0.1216,0.74,0.4386,0.1216,857.6154,381.7046,207.497,0.0,,,,0.0865,0.2449,0.0679,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2303.7889,40.1067,11.117,6054.6053,117.6147,32.6011,0.1681,0.0033,0.0009,0.0002,0.0,0.0,0.1683,0.0033,0.0009
E3S,NBHD_TRUST,replicas_per_victim,4,50,0.48,0.4996,0.1385,0.52,0.4996,0.1385,505.4167,273.2172,109.3097,0.0,,,,0.0081,0.0133,0.0037,0.0001,0.0001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3422.0342,19.579,5.427,763.4767,15.4266,4.276,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0005,0.0001
E3S,PROPOSED,replicas_per_victim,4,50,0.22,0.3187,0.0884,0.78,0.3187,0.0884,1104.5,377.9708,174.6136,0.0,,,,0.044,0.1206,0.0334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2343.3824,33.8419,9.3805,6084.0959,122.8911,34.0637,0.1689,0.0034,0.0009,0.0002,0.0,0.0,0.1691,0.0034,0.0009
E3S,NBHD_TRUST,replicas_per_victim,6,50,0.56,0.4964,0.1376,0.44,0.4964,0.1376,281.2143,268.3762,99.408,0.0,,,,0.0179,0.028,0.0078,0.0002,0.0003,0.0001,0.9999,0.0007,0.0002,0.98,0.14,0.0388,3420.1342,21.2619,5.8935,766.6379,9.9219,2.7502,0.0213,0.0003,0.0001,0.0008,0.0,0.0,0.0221,0.0003,0.0001
E3S,PROPOSED,replicas_per_victim,6,50,0.2267,0.262,0.0726,0.7733,0.262,0.0726,999.12,343.8013,134.7701,0.0,,,,0.0498,0.106,0.0294,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2374.0259,36.6017,10.1455,6101.561,77.6677,21.5284,0.1694,0.0022,0.0006,0.0002,0.0,0.0,0.1696,0.0022,0.0006
