experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E5,SIG_RANGE,byzantine_replicas,1,50,1.0,0.0,0.0,0.0,0.0,0.0,394.98,299.2562,82.9496,0.94,1084.6809,345.4722,98.7689,0.9989,0.0051,0.0014,0.01,0.005,0.0014,0.9964,0.0022,0.0006,,,,1295.4465,25.8788,7.1733,2944.6325,46.7602,12.9613,0.0818,0.0013,0.0004,0.0,0.0,0.0,0.0818,0.0013,0.0004
E5,PROPOSED,byzantine_replicas,1,50,0.98,0.14,0.0388,0.02,0.14,0.0388,524.0816,278.7824,78.0591,0.6,1492.6333,294.1845,105.2726,0.8518,0.3204,0.0888,0.0,0.0001,0.0,1.0,0.0,0.0,,,,2330.4816,33.7591,9.3576,5972.7342,87.4666,24.2445,0.1658,0.0024,0.0007,0.0002,0.0,0.0,0.166,0.0024,0.0007
E5,SIG_RANGE,byzantine_replicas,2,50,1.0,0.0,0.0,0.0,0.0,0.0,408.62,275.2441,76.2938,0.9,1240.3778,326.8535,95.4999,0.9976,0.0134,0.0037,0.014,0.0064,0.0018,0.9962,0.0027,0.0008,,,,1355.3757,33.3388,9.2411,2921.0768,47.3348,13.1206,0.0811,0.0013,0.0004,0.0,0.0,0.0,0.0811,0.0013,0.0004
E5,PROPOSED,byzantine_replicas,2,50,0.88,0.275,0.0762,0.12,0.275,0.0762,577.5957,232.9868,66.6098,0.34,1594.1176,205.2433,97.5665,0.7743,0.308,0.0854,0.0001,0.0001,0.0,1.0,0.0,0.0,,,,2395.4222,39.3295,10.9016,5975.3528,87.5484,24.2672,0.1659,0.0024,0.0007,0.0002,0.0,0.0,0.1661,0.0024,0.0007
E5,SIG_RANGE,byzantine_replicas,4,50,1.0,0.0,0.0,0.0,0.0,0.0,350.325,234.3892,64.9694,0.84,1264.1429,351.2788,106.2388,0.9994,0.0018,0.0005,0.0195,0.0075,0.0021,0.9942,0.0055,0.0015,,,,1471.5594,42.945,11.9037,2874.7656,49.6523,13.7629,0.0798,0.0014,0.0004,0.0,0.0,0.0,0.0798,0.0014,0.0004
E5,PROPOSED,byzantine_replicas,4,50,0.91,0.2047,0.0567,0.09,0.2047,0.0567,591.435,234.8207,65.089,0.2,1667.4,179.3974,111.1917,0.8049,0.2623,0.0727,0.0002,0.0002,0.0,1.0,0.0,0.0,,,,2491.9877,45.2185,12.5339,5953.6097,113.3551,31.4204,0.1653,0.0031,0.0009,0.0002,0.0,0.0,0.1655,0.0032,0.0009
E5,SIG_RANGE,byzantine_replicas,8,50,1.0,0.0,0.0,0.0,0.0,0.0,374.2625,196.8775,54.5717,0.42,1428.5238,342.0246,146.2863,0.9981,0.002,0.0005,0.0276,0.0095,0.0026,0.9882,0.0115,0.0032,,,,1687.5749,68.3685,18.9508,2843.9101,53.6135,14.8609,0.079,0.0015,0.0004,0.0,0.0,0.0,0.079,0.0015,0.0004
E5,PROPOSED,byzantine_replicas,8,50,0.8625,0.1941,0.0538,0.1375,0.1941,0.0538,644.8249,206.9963,57.3764,0.0,,,,0.6837,0.3083,0.0855,0.0003,0.0002,0.0001,1.0,0.0,0.0,,,,2618.9548,63.2378,17.5286,6013.7559,116.3971,32.2636,0.167,0.0032,0.0009,0.0002,0.0,0.0,0.1671,0.0032,0.0009
E5,SIG_RANGE,byzantine_replicas,16,50,1.0,0.0,0.0,0.0,0.0,0.0,312.5288,252.9688,70.1194,0.0,,,,0.9904,0.0076,0.0021,0.0398,0.0181,0.005,0.9634,0.0294,0.0081,,,,2232.7507,171.2282,47.462,2782.8881,79.3845,22.0043,0.0773,0.0022,0.0006,0.0,0.0,0.0,0.0773,0.0022,0.0006
E5,PROPOSED,byzantine_replicas,16,50,0.855,0.2238,0.062,0.145,0.2238,0.062,650.7997,158.1255,43.8302,0.0,,,,0.6947,0.3223,0.0893,0.0003,0.0002,0.0001,1.0,0.0,0.0,,,,2923.0741,134.8419,37.3763,6064.7012,199.2435,55.2275,0.1684,0.0055,0.0015,0.0002,0.0,0.0,0.1686,0.0055,0.0015
