experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E2S,NBHD_TRUST,event_grow_time,1200,50,0.44,0.4964,0.1376,0.56,0.4964,0.1376,311.5455,162.345,67.8396,0.0,,,,0.0103,0.0191,0.0053,0.0001,0.0002,0.0,0.9999,0.0007,0.0002,0.98,0.14,0.0388,3419.4668,20.2372,5.6095,762.5749,12.6456,3.5052,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2S,PROPOSED,event_grow_time,1200,50,0.08,0.1833,0.0508,0.92,0.1833,0.0508,1099.5,455.7642,315.8285,0.0,,,,0.0085,0.0569,0.0158,0.0001,0.0002,0.0001,0.9999,0.0007,0.0002,1.0,0.0,0.0,2339.069,34.0548,9.4395,6078.7571,100.1839,27.7696,0.1688,0.0028,0.0008,0.0002,0.0,0.0,0.169,0.0028,0.0008
E2S,NBHD_TRUST,event_grow_time,600,50,0.54,0.4984,0.1381,0.46,0.4984,0.1381,290.2222,163.3153,61.6029,0.0,,,,0.0138,0.0248,0.0069,0.0002,0.0003,0.0001,0.9998,0.001,0.0003,0.96,0.196,0.0543,3419.9464,18.3163,5.077,763.1494,12.9145,3.5797,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2S,PROPOSED,event_grow_time,600,50,0.13,0.261,0.0723,0.87,0.261,0.0723,808.7727,216.2061,127.7696,0.0,,,,0.0069,0.0443,0.0123,0.0001,0.0005,0.0001,0.9999,0.0007,0.0002,1.0,0.0,0.0,2339.1277,30.407,8.4284,6084.1592,101.9363,28.2553,0.1689,0.0028,0.0008,0.0002,0.0,0.0,0.1691,0.0028,0.0008
E2S,NBHD_TRUST,event_grow_time,300,50,0.48,0.4996,0.1385,0.52,0.4996,0.1385,449.7083,309.1664,123.6923,0.0,,,,0.0075,0.0121,0.0033,0.0001,0.0001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3419.3024,21.3992,5.9316,763.5241,14.118,3.9133,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2S,PROPOSED,event_grow_time,300,50,0.17,0.2369,0.0657,0.83,0.2369,0.0657,949.4118,325.9148,154.9301,0.0,,,,0.0155,0.0723,0.02,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2338.4394,32.7042,9.0651,6085.4902,112.8958,31.2931,0.169,0.0031,0.0009,0.0002,0.0,0.0,0.1691,0.0031,0.0009
E2S,NBHD_TRUST,event_grow_time,150,50,0.48,0.4996,0.1385,0.52,0.4996,0.1385,435.25,277.7643,111.1289,0.0,,,,0.0169,0.0342,0.0095,0.0002,0.0003,0.0001,0.9996,0.0014,0.0004,0.92,0.2713,0.0752,3421.2378,19.3169,5.3544,765.9614,14.5468,4.0322,0.0213,0.0004,0.0001,0.0008,0.0,0.0,0.0221,0.0004,0.0001
E2S,PROPOSED,event_grow_time,150,50,0.13,0.241,0.0668,0.87,0.241,0.0668,999.3333,438.3924,248.0438,0.0,,,,0.0327,0.1095,0.0304,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2338.7085,34.2741,9.5003,6106.4595,114.1205,31.6326,0.1695,0.0032,0.0009,0.0002,0.0,0.0,0.1697,0.0032,0.0009
E2S,NBHD_TRUST,event_grow_time,75,50,0.6,0.4899,0.1358,0.4,0.4899,0.1358,405.4667,203.4087,72.7889,0.0,,,,0.0135,0.0266,0.0074,0.0002,0.0004,0.0001,0.9999,0.0007,0.0002,0.98,0.14,0.0388,3421.4454,18.7993,5.2109,760.2127,11.583,3.2106,0.0211,0.0003,0.0001,0.0008,0.0,0.0,0.0219,0.0003,0.0001
E2S,PROPOSED,event_grow_time,75,50,0.12,0.2135,0.0592,0.88,0.2135,0.0592,669.4167,125.7918,71.1734,0.0,,,,0.0266,0.1034,0.0287,0.0001,0.0004,0.0001,0.9999,0.0007,0.0002,1.0,0.0,0.0,2343.7836,27.9698,7.7528,6060.1704,92.307,25.5862,0.1683,0.0026,0.0007,0.0002,0.0,0.0,0.1684,0.0026,0.0007
